"id","comment_text","toxic"
"c143","you are a coward",1
"c144","stop being a coward",1
"c145","you are pathetic and weak",1
"c146","what a pathetic excuse for a person",1
"c147","you are an absolute joke",1
"c148","you are laughable",1
"c149","everyone is laughing at you",1
"c150","you are a complete embarrassment",1
"c151","hey how are you",0
"c152","how are you doing today",0
"c153","good morning",0
"c154","good night",0
"c155","how was your day",0
"c156","what are you up to",0
"c157","are you free later",0
"c158","let us meet up",0
"c159","that sounds great",0
"c160","i agree with you",0
"c161","you are right about that",0
"c162","you are doing great",0
"c163","you are so talented",0
"c164","you are amazing",0
"c165","you are very kind",0
"c166","you are a good friend",0
"c167","you are so funny",0
"c168","you are so smart",0
"c169","you are brilliant",0
"c170","you look great today",0
"c171","i really appreciate you",0
"c172","thank you so much",0
"c173","thanks for helping me",0
"c174","i am proud of you",0
"c175","keep up the good work",0
"c176","well done",0
"c177","great job today",0
"c178","i miss you",0
"c179","i love spending time with you",0
"c180","you mean a lot to me",0
"c181","have a great day",0
"c182","take care of yourself",0
"c183","stay safe out there",0
"c184","let me know if you need help",0
"c185","i am here for you",0
"c186","sounds like a plan",0
"c187","that is a good idea",0
"c188","i think that makes sense",0
"c189","can we talk later",0
"c190","what do you think about this",0
"c191","what time works for you",0
"c192","sure no problem at all",0
"c193","of course i will help",0
"c194","happy to assist you",0
"c195","hope you are feeling better",0
"c196","thinking of you today",0
"c197","you got this",0
"c198","believe in yourself",0
"c199","you are doing your best",0
"c200","it will get better",0
"c201","i had a great day today",0
"c202","the weather is so nice",0
"c203","did you watch the game last night",0
"c204","what are you having for dinner",0
"c205","that movie was really good",0
"c206","i just finished reading a book",0
"c207","want to hang out this weekend",0
"c208","i just got back from the gym",0
"c209","how is your family doing",0
"c210","congratulations on your achievement",0
"c211","that is really impressive",0
"c212","i learned something new today",0
"c213","this is so exciting",0
"c214","i am so happy for you",0
"c215","you deserve all the good things",0
"c216","you worked really hard for this",0
"c217","i believe in you",0
"c218","you can do it",0
"c219","never give up",0
"c220","keep going you are doing well",0
"c221","what did you do today",0
"c222","how is work going",0
"c223","did you sleep well",0
"c224","what are your plans for today",0
"c225","let me know how it goes",0
"c226","i will be there for you",0
"c227","we can figure this out together",0
"c228","do not worry everything will be fine",0
"c229","i understand how you feel",0
"c230","that must have been difficult",0
"c231","i am sorry to hear that",0
"c232","things will get better soon",0
"c233","you are stronger than you think",0
"c234","i admire your strength",0
"c235","you handled that really well",0
"c236","good luck with everything",0
"c237","wishing you all the best",0
"c238","have fun today",0
"c239","enjoy your weekend",0
"c240","talk to you later",0
"c241","see you soon",0
"c242","looking forward to seeing you",0
"c243","it was great talking to you",0
"c244","thanks for the chat",0
"c245","you always know what to say",0
"c246","you are so easy to talk to",0
"c247","i enjoy our conversations",0
"c248","you make me smile",0
"c249","you always cheer me up",0
"c250","you are such a positive person",0
